,Time_IPCA,Returns_IPCA
0,2012-11-01,0.016807118316381264
1,2012-12-01,0.27510329024492086
2,2013-01-01,0.08489944378648617
3,2013-02-01,-0.36000273403140703
4,2013-03-01,-0.2441969605120421
5,2013-04-01,0.1571855835224124
6,2013-05-01,-0.3964152725882465
7,2013-06-01,-0.3528213746227423
8,2013-07-01,-2.1594842493533726
9,2013-08-01,2.079441541679836
10,2013-09-01,0.377294231141468
11,2013-10-01,0.48770320634513653
12,2013-11-01,-0.054067221270275634
13,2013-12-01,0.532804530484766
14,2014-01-01,-0.5144553918165694
15,2014-02-01,0.22677331936478834
16,2014-03-01,0.28768207245178107
17,2014-04-01,-0.31709595765807425
18,2014-05-01,-0.37605122290187104
19,2014-06-01,-0.1397619423751587
20,2014-07-01,-3.688879454113936
21,2014-08-01,3.2188758248682
22,2014-09-01,0.8241754429663493
23,2014-10-01,-0.30538164955118174
24,2014-11-01,0.19415601444095743
25,2014-12-01,0.424883193965266
26,2015-01-01,0.4635727389154451
27,2015-02-01,-0.016260520871780315
28,2015-03-01,0.07878087785311438
29,2015-04-01,-0.6201220455450556
30,2015-05-01,0.0413852161628544
31,2015-06-01,0.06538275926285178
32,2015-07-01,-0.24231346742192997
33,2015-08-01,-1.0360919316867756
34,2015-09-01,0.8979415932059586
35,2015-10-01,0.4177352006999786
36,2015-11-01,0.20840126957700641
37,2015-12-01,-0.05077232537342326
38,2016-01-01,0.2798388949907551
39,2016-02-01,-0.3443774161283262
40,2016-03-01,-0.7386095546367026
41,2016-04-01,0.34967374847974886
42,2016-05-01,0.2458349625162805
43,2016-06-01,-0.8013607652001782
44,2016-07-01,0.3958956570920139
45,2016-08-01,-0.1670540846631663
46,2016-09-01,-1.7047480922384253
47,2016-10-01,1.1786549963416464
48,2016-11-01,-0.3677247801253174
49,2016-12-01,0.5108256237659905
50,2017-01-01,0.23638877806423053
51,2017-02-01,-0.14107859825990554
52,2017-03-01,-0.27763173659827944
53,2017-04-01,-0.5798184952529422
54,2017-05-01,0.7949298748698876
55,2017-06-01,
56,2017-07-01,
57,2017-08-01,-0.23361485118150505
58,2017-09-01,-0.17185025692665934
59,2017-10-01,0.9650808960435872
60,,
