,Time_INTDSRBRM193N,Returns_INTDSRBRM193N
0,2012-11-01,-0.007071733413320569
1,2012-12-01,0.001365075066108723
2,2013-01-01,-0.003711506690437183
3,2013-02-01,0.001694543742506216
4,2013-03-01,0.0012375495310288365
5,2013-04-01,0.008669909794606134
6,2013-05-01,0.012670147814695998
7,2013-06-01,0.03575174004082582
8,2013-07-01,0.023743579184479557
9,2013-08-01,0.015685895605844102
10,2013-09-01,0.03172237419872914
11,2013-10-01,0.02359139948033473
12,2013-11-01,0.013479604783636745
13,2013-12-01,0.029322201558639183
14,2014-01-01,0.017388040464315857
15,2014-02-01,0.015823832986503916
16,2014-03-01,0.013892513813857033
17,2014-04-01,0.013699079059108055
18,2014-05-01,0.001512303988188357
19,2014-06-01,0.0
20,2014-07-01,1.1546319456101628e-14
21,2014-08-01,8.625737108980402e-05
22,2014-09-01,-8.625737109557718e-05
23,2014-10-01,0.0013105113944562596
24,2014-11-01,0.01367294818092768
25,2014-12-01,0.025257757918085044
26,2015-01-01,0.013824804469173113
27,2015-02-01,0.018702327080367454
28,2015-03-01,0.02394887840920923
29,2015-04-01,0.005235713103075579
30,2015-05-01,0.02544282809935794
31,2015-06-01,0.02252108278353049
32,2015-07-01,0.005957369589563832
33,2015-08-01,0.023318752344132943
34,2015-09-01,0.0
35,2015-10-01,0.0
36,2015-11-01,0.0
37,2015-12-01,0.0
38,2016-01-01,0.0
39,2016-02-01,0.0
40,2016-03-01,-4.884981308350689e-15
41,2016-04-01,4.884981308350689e-15
42,2016-05-01,0.0
43,2016-06-01,-4.884981308350689e-15
44,2016-07-01,4.884981308350689e-15
45,2016-08-01,0.0
46,2016-09-01,0.0
47,2016-10-01,-0.005063980229419673
48,2016-11-01,-0.0076359724115069305
49,2016-12-01,-0.012863318399571888
50,2017-01-01,-0.02505693149261612
51,2017-02-01,-0.019069980784642393
52,2017-03-01,-0.03673444101112322
53,2017-04-01,-0.03175373104367818
54,2017-05-01,-0.02603115842394299
55,2017-06-01,-0.06132987634283049
56,,
