,TimeDolarReal,ReturnsDolarReal
0,2012-10-02,0.0002961939104439981
1,2012-10-03,-0.0007900454687056468
2,2012-10-04,-0.0016809219363019823
3,2012-10-05,0.0031124200705271443
4,2012-10-08,
5,2012-10-09,
6,2012-10-10,0.0022084272710872765
7,2012-10-11,-0.001913688358505139
8,2012-10-12,0.003725859786229524
9,2012-10-15,-0.0039714695136094935
10,2012-10-16,-0.0014257272393674025
11,2012-10-17,-0.00014760510740452482
12,2012-10-18,-0.002118070885187673
13,2012-10-19,-0.0005425534671551491
14,2012-10-22,-0.0014317808365624796
15,2012-10-23,0.002171553513507729
16,2012-10-24,-0.0008384503955963796
17,2012-10-25,-0.0006416426270829945
18,2012-10-26,-0.0001975113575450882
19,2012-10-29,0.0022197567383129835
20,2012-10-30,0.0007388253014323221
21,2012-10-31,-0.0005910165656670685
22,2012-11-01,0.00029555194540564766
23,2012-11-02,0.0
24,2012-11-05,0.0019681171477866632
25,2012-11-06,-0.0006884004795634224
26,2012-11-07,0.0002459117189326232
27,2012-11-08,0.0030442918532442853
28,2012-11-09,0.0038167985267009152
29,2012-11-12,
30,2012-11-13,
31,2012-11-14,0.00203301294670577
32,2012-11-15,-0.0008223883587608061
33,2012-11-16,0.005694446427110145
34,2012-11-19,-0.0026984066872192125
35,2012-11-20,0.003612285685913763
36,2012-11-21,0.007758288040713324
37,2012-11-22,
38,2012-11-23,
39,2012-11-26,-0.0016303048444353818
40,2012-11-27,-0.004231996313284636
41,2012-11-28,0.007202912294057895
42,2012-11-29,0.006105723986436273
43,2012-11-30,0.004270874427121152
44,2012-12-03,0.0010885256286724543
45,2012-12-04,-0.0003784832329799537
46,2012-12-05,-0.006075295158669891
47,2012-12-06,-0.01028840275142362
48,2012-12-07,0.000480884837350648
49,2012-12-10,0.000720893939666456
50,2012-12-11,-0.001442307942338017
51,2012-12-12,0.0002886280566506416
52,2012-12-13,-4.8098891329728666e-05
53,2012-12-14,0.0017781199869575381
54,2012-12-17,0.004933314601029193
55,2012-12-18,-0.0037336695520489016
56,2012-12-19,-0.0050482089948570286
57,2012-12-20,-0.007304775727107526
58,2012-12-21,0.008268306176947071
59,2012-12-24,0.0011069135090796545
60,2012-12-25,
61,2012-12-26,
62,2012-12-27,0.0010728568277676986
63,2012-12-28,-0.0035154569674629155
64,2012-12-31,0.0015151147787311192
65,2013-01-01,
66,2013-01-02,
67,2013-01-03,-0.003187449063744574
68,2013-01-04,-0.0004912797937179914
69,2013-01-07,-0.004432413068066854
70,2013-01-08,0.006543205889672832
71,2013-01-09,-0.0004414253204571006
72,2013-01-10,-0.0028986239558785876
73,2013-01-11,0.002457003693052129
74,2013-01-14,-0.0036385132087283223
75,2013-01-15,0.0036385132087283223
76,2013-01-16,0.0014713097308426404
77,2013-01-17,0.0009796718882975064
78,2013-01-18,0.0007830470717734572
79,2013-01-21,
80,2013-01-22,
81,2013-01-23,-0.005042480025698515
82,2013-01-24,-0.004426962468515816
83,2013-01-25,0.00024645717931270905
84,2013-01-28,-0.012996859370024927
85,2013-01-29,-0.006763383412858093
86,2013-01-30,-0.0016602524378138694
87,2013-01-31,0.0007550019233691918
88,2013-02-01,-0.003275799829936088
89,2013-02-04,0.00518592406607854
90,2013-02-05,-0.0036726829198113764
91,2013-02-06,0.0003527603533947099
92,2013-02-07,-0.007028217528404768
93,2013-02-08,0.0008622220502212397
94,2013-02-11,-5.0698370058333e-05
95,2013-02-12,-0.002233276737772294
96,2013-02-13,-0.0008641944466873941
97,2013-02-14,-0.0037194652209704415
98,2013-02-15,0.001275347705066432
99,2013-02-18,
100,2013-02-19,
101,2013-02-20,0.0020934930671842045
102,2013-02-21,0.006203620017436906
103,2013-02-22,-0.000862134597102937
104,2013-02-25,-0.0011168080758739984
105,2013-02-26,0.010961643363525675
106,2013-02-27,-0.006501875177000183
107,2013-02-28,-0.0004552006754878768
108,2013-03-01,0.0031316320168759404
109,2013-03-04,-0.0015645901190527445
110,2013-03-05,-0.007300042557380482
111,2013-03-06,0.0006612243062816825
112,2013-03-07,-0.0036676725949220668
113,2013-03-08,-0.005886133437205787
114,2013-03-11,0.005784061374240812
115,2013-03-12,0.0013770945485872543
116,2013-03-13,-0.0002548744757011612
117,2013-03-14,0.002545826222256964
118,2013-03-15,0.004566217979581233
119,2013-03-18,0.005552765403208149
120,2013-03-19,0.000452955542609379
121,2013-03-20,-0.000452955542609379
122,2013-03-21,0.0034674272787023064
123,2013-03-22,0.011769535420855792
124,2013-03-25,-0.0016870941331056377
125,2013-03-26,-0.0034325830286340286
126,2013-03-27,0.0032835850398312827
127,2013-03-28,0.0013401833589559153
128,2013-03-29,0.0024770882123617
129,2013-04-01,-0.001485516490066785
130,2013-04-02,-0.0002478007694503015
131,2013-04-03,0.0029695641718163746
132,2013-04-04,-0.002721763402366073
133,2013-04-05,-0.01271679024918404
134,2013-04-08,-0.001758131810397856
135,2013-04-09,-0.0012577035993186492
136,2013-04-10,-0.005046692517913454
137,2013-04-11,-0.002279347574159485
138,2013-04-12,-0.0015224565234550624
139,2013-04-15,0.0032957312123198523
140,2013-04-16,0.0105741166518305
141,2013-04-17,0.0017515330388063743
142,2013-04-18,0.008959741371471819
143,2013-04-19,-0.005216755092637526
144,2013-04-22,0.0031333176605977675
145,2013-04-23,0.0003475411498875536
146,2013-04-24,0.003963344301244787
147,2013-04-25,-0.005453657542803914
148,2013-04-26,-0.004933851677196177
149,2013-04-29,-4.996128001832911e-05
150,2013-04-30,-0.0012498439322281563
151,2013-05-01,0.003744855206571196
