DATE,BRAGDPNQDSMEI
2012-10-01,1241.5
2013-01-01,1276.4
2013-04-01,1326.6
2013-07-01,1347.5
2013-10-01,1381.1
2014-01-01,1420.1
2014-04-01,1428.2
2014-07-01,1456.2
2014-10-01,1474.4
2015-01-01,1488.1
2015-04-01,1487.5
2015-07-01,1504.8
2015-10-01,1520.2
2016-01-01,1531.1
2016-04-01,1563.2
2016-07-01,1576.1
2016-10-01,1596.5
2017-01-01,1628.3
2017-04-01,1644.5
