Date,Open,High,Low,Close,Adj Close,Volume
2017-09-25,11.150000,11.150000,10.720000,10.890000,10.890000,1670300
2017-09-26,10.960000,11.130000,10.860000,11.000000,11.000000,1957600
2017-09-27,11.040000,11.080000,10.750000,10.910000,10.910000,2352900
2017-09-28,10.950000,11.240000,10.870000,11.050000,11.050000,3077200
2017-09-29,11.160000,11.580000,11.160000,11.410000,11.410000,3213200
2017-10-02,11.400000,11.590000,11.180000,11.420000,11.420000,4591600
2017-10-03,11.450000,11.650000,11.420000,11.540000,11.540000,3536700
2017-10-04,11.630000,11.900000,11.550000,11.900000,11.900000,2994600
2017-10-05,11.950000,12.200000,11.850000,11.850000,11.850000,3276700
2017-10-06,11.700000,11.990000,11.490000,11.800000,11.800000,2449600
2017-10-09,11.990000,12.090000,11.420000,11.510000,11.510000,3252900
2017-10-10,11.640000,11.840000,11.600000,11.710000,11.710000,2350500
2017-10-11,11.800000,12.080000,11.720000,12.080000,12.080000,2056800
2017-10-12,12.080000,12.080000,12.080000,12.080000,12.080000,0
2017-10-13,12.100000,12.250000,11.920000,12.250000,12.250000,2930500
2017-10-16,12.270000,12.350000,12.090000,12.230000,12.230000,2173300
2017-10-17,12.230000,12.310000,11.970000,12.090000,12.090000,2022700
2017-10-18,12.090000,12.660000,12.090000,12.600000,12.600000,3045500
2017-10-19,12.450000,12.570000,12.320000,12.430000,12.430000,2033300
2017-10-20,12.460000,12.620000,12.180000,12.310000,12.310000,3145900
2017-10-23,12.150000,12.230000,12.020000,12.070000,12.070000,2658900
